id_municipio,risco_observado,risco_previsto,codigo_uf,regiao,meta_alfabetizacao_2025,taxa_alfabetizacao_anterior,n_estudantes_teste,taxa_alfabetizacao_prevista,risco_ic95_inferior,risco_ic95_superior,deficit_para_meta_pp,amostra_suficiente,nome_municipio
4318507,0.6428571428571429,0.6729334730803693,43,Sul,62.43,53.9,14,32.706652691963065,0.427181977843888,0.9186849683168506,29.723347308036935,False,São José do Norte
2807105,0.5416666666666666,0.6719740675065409,28,Nordeste,47.41,33.19,24,32.80259324934591,0.48413721752359795,0.8598109174894838,14.607406750654086,False,Simão Dias
2515609,1.0,0.6716343240949291,25,Nordeste,32.81,17.39,2,32.836567590507094,0.020776107423594814,1.0,-0.02656759050709212,False,Serra da Raiz
1502103,0.648,0.6707797015935182,15,Norte,52.96,40.41,125,32.92202984064818,0.5883973237691134,0.753162079417923,20.037970159351822,True,Cametá
2403251,0.6312056737588653,0.6704947771773172,24,Nordeste,55.79,44.3,141,32.95052228226828,0.5929102056450728,0.7480793487095616,22.839477717731718,True,Parnamirim
2803708,0.25,0.67011703958667,28,Nordeste,51.39,38.3,4,32.988296041333,0.2093500602948445,1.0,18.401703958667,False,Macambira
4209409,0.8,0.6697541565954861,42,Sul,47.47,33.26,5,33.02458434045139,0.257516692333597,1.0,14.445415659548608,False,Laguna
2904001,0.6153846153846154,0.6689190497531968,29,Nordeste,56.32,45.05,13,33.10809502468032,0.41309682362604955,0.9247412758803442,23.211904975319683,False,Boninal
4310751,0.0,0.6683108288997097,43,Sul,63.85,,1,33.16891711002903,0.0,1.0,30.681082889970973,False,Ivorá
2932002,0.6296296296296297,0.6681006655486589,29,Nordeste,56.24,44.93,27,33.18993344513411,0.49047802082158964,0.8457233102757281,23.050066554865893,False,Uauá
4314100,0.5196078431372549,0.667480225943815,43,Sul,65.53,58.54,102,33.251977405618504,0.5760512351516109,0.758909216736019,32.2780225943815,True,Passo Fundo
2806800,1.0,0.6673690944256212,28,Nordeste,44.44,29.59,5,33.26309055743788,0.25438301445062345,1.0,11.17690944256212,False,São Domingos
4311718,0.3333333333333333,0.6670246367550211,43,Sul,71.11,66.97,3,33.29753632449789,0.13372359482033558,1.0,37.81246367550211,False,Maçambará
4309209,0.6524064171122995,0.6663260556105725,43,Sul,68.91,63.64,187,33.36739443894275,0.5987426902944635,0.7339094209266814,35.54260556105724,True,Gravataí
2413904,0.6666666666666666,0.6660482800420632,24,Nordeste,50.04,36.54,6,33.39517199579368,0.2886715265319512,1.0,16.644828004206317,False,Taipu
2403103,0.3076923076923077,0.6649421610952694,24,Nordeste,53.54,41.2,26,33.50578389047306,0.48350709630225674,0.846377225888282,20.034216109526938,False,Currais Novos
