id_municipio,taxa_alfabetizacao_anterior,media_portugues_anterior,percentual_participacao_anterior,total_alunos_avaliados_anterior,populacao_anterior,pib_per_capita_anterior,meta_alfabetizacao_2025,cluster,silhouette_global
2414001,42.92,732.1203,82.83,82.0,13281.0,16941.4953693246,54.8,1,0.33899545632891714
2414100,42.88,733.7094,90.91,90.0,10262.0,13914.928863769246,54.77,1,0.33899545632891714
2414159,44.64,732.3343,87.01,67.0,5891.0,20453.742997793237,56.03,1,0.33899545632891714
2414209,17.6,698.9009,72.16,197.0,16929.0,34037.15517750604,33.04,1,0.33899545632891714
2414308,20.83,712.7196,92.31,24.0,2348.0,20162.265758092,36.41,1,0.33899545632891714
2414407,24.69,709.3022,83.75,299.0,33035.0,30745.270168003637,40.12,1,0.33899545632891714
2414456,,,,15.0,3376.0,16571.090047393365,18.14,1,0.33899545632891714
2414605,24.81,711.7605,,64.0,13577.0,27268.174117993665,,1,0.33899545632891714
2414704,17.25,709.7628,81.08,30.0,5233.0,13912.2874068412,32.65,1,0.33899545632891714
2414753,41.18,736.636,94.44,17.0,3014.0,15882.54810882548,53.53,1,0.33899545632891714
2414803,58.73,749.4401,81.33,135.0,10735.0,15586.958546809501,65.66,1,0.33899545632891714
2414902,58.93,747.8578,91.43,32.0,1822.0,16310.098792535675,65.79,0,0.33899545632891714
2415008,19.38,707.2591,88.46,46.0,3174.0,15709.829867674856,34.93,1,0.33899545632891714
2500106,47.63,734.6074,97.25,106.0,9335.0,11501.66041778254,58.14,1,0.33899545632891714
2500205,68.73,756.3621,95.52,64.0,5003.0,13708.774735158904,72.28,0,0.33899545632891714
2500304,31.28,721.0822,81.25,286.0,26062.0,14090.706776149183,45.86,1,0.33899545632891714
2500403,38.94,729.6251,87.77,201.0,21013.0,17932.946271355828,51.87,1,0.33899545632891714
2500502,57.29,745.6798,85.4,117.0,13725.0,12144.699453551913,64.7,1,0.33899545632891714
2500536,42.62,723.9927,83.33,70.0,5578.0,12611.688777339548,54.58,1,0.33899545632891714
2500577,44.32,729.5265,92.68,38.0,2953.0,13031.83203521842,55.8,1,0.33899545632891714
2500601,57.33,743.5606,89.26,216.0,21730.0,144880.44178554995,64.73,0,0.33899545632891714
2500700,42.09,729.318,94.85,129.0,17964.0,15924.070362948118,54.19,1,0.33899545632891714
2500734,85.27,788.2321,97.83,45.0,2234.0,16579.67770814682,80.0,0,0.33899545632891714
2500775,42.5,735.8188,87.5,63.0,7960.0,18547.361809045226,54.49,1,0.33899545632891714
2500809,64.03,764.1987,80.77,126.0,16646.0,14004.145139973567,69.17,0,0.33899545632891714
2500908,35.35,710.432,82.35,70.0,12212.0,10970.930232558141,49.12,1,0.33899545632891714
2501005,35.18,722.3499,95.24,180.0,17189.0,14201.46605387166,48.99,1,0.33899545632891714
2501104,85.08,786.2229,90.34,215.0,22633.0,15707.683471037864,80.0,0,0.33899545632891714
2501153,25.0,706.2589,75.0,12.0,2005.0,13923.192019950124,40.4,1,0.33899545632891714
2501203,92.86,801.9352,98.32,117.0,7128.0,11428.591470258136,80.0,0,0.33899545632891714
2501302,67.95,761.7393,96.41,242.0,18705.0,17519.326383319967,71.77,0,0.33899545632891714
2501351,48.37,739.4483,98.59,70.0,4152.0,13554.672447013489,58.65,1,0.33899545632891714
2501401,21.73,710.9401,90.68,107.0,9224.0,14143.755420641804,37.3,1,0.33899545632891714
2501500,51.04,745.2252,88.98,105.0,23134.0,16036.137287109881,60.49,1,0.33899545632891714
2501534,59.36,770.0702,86.79,46.0,4762.0,13020.159596808066,66.08,0,0.33899545632891714
2501575,28.04,715.7895,96.15,50.0,8059.0,14284.774785953592,43.12,1,0.33899545632891714
2501609,56.39,743.1423,90.24,37.0,12904.0,14567.188468691878,64.1,1,0.33899545632891714
2501708,60.51,750.6152,97.4,75.0,5906.0,17189.976295292923,66.84,0,0.33899545632891714
2501807,33.89,720.4673,73.31,530.0,82742.0,22950.8592975756,47.97,1,0.33899545632891714
2501906,56.8,750.8911,83.54,132.0,16401.0,16380.40363392476,64.37,1,0.33899545632891714
2502003,57.5,751.089,92.06,58.0,6268.0,14862.795149968091,64.84,0,0.33899545632891714
2502052,61.38,747.5934,83.02,44.0,3504.0,15331.335616438355,67.42,1,0.33899545632891714
2502102,28.58,722.6139,91.18,31.0,5207.0,12214.518916842711,43.58,1,0.33899545632891714
2502151,68.57,759.9679,96.97,96.0,6377.0,50093.460875019606,72.18,0,0.33899545632891714
2502201,25.56,721.9058,97.22,35.0,2286.0,17633.4208223972,40.92,1,0.33899545632891714
2502300,65.39,764.6787,97.92,47.0,4661.0,14280.41192877065,70.07,0,0.33899545632891714
2502409,40.87,731.5366,83.7,77.0,10252.0,11664.650799843932,53.3,1,0.33899545632891714
2502508,38.0,721.1097,81.93,136.0,17598.0,17209.341970678484,51.16,1,0.33899545632891714
2502607,28.96,715.9436,89.33,67.0,5648.0,12941.749291784701,43.91,1,0.33899545632891714
2502706,82.74,783.9557,91.67,33.0,4214.0,19143.569055529188,80.0,0,0.33899545632891714
2502805,53.57,746.9037,93.79,136.0,13613.0,15228.458091530156,62.2,1,0.33899545632891714
2502904,45.49,744.0813,93.55,58.0,5742.0,13777.603622431208,56.63,1,0.33899545632891714
2503001,37.78,724.3759,81.43,285.0,21193.0,25723.44642098806,50.99,1,0.33899545632891714
2503100,60.85,760.0468,87.84,65.0,5335.0,32065.417057169634,67.06,0,0.33899545632891714
2503209,48.92,736.8345,84.77,540.0,66519.0,61527.93938573942,59.03,1,0.33899545632891714
2503308,42.05,726.9989,92.13,82.0,9151.0,16733.143918697406,54.17,1,0.33899545632891714
2503407,63.89,757.3486,100.0,36.0,3291.0,13876.937101185049,69.08,0,0.33899545632891714
2503506,79.49,777.1244,90.36,150.0,16064.0,11161.541334661355,79.64,0,0.33899545632891714
2503555,32.54,712.9612,97.46,115.0,7223.0,11630.209054409524,46.89,1,0.33899545632891714
2503605,53.84,744.8317,71.88,46.0,6602.0,12636.776734322932,62.39,1,0.33899545632891714
2503704,51.68,741.4228,91.74,511.0,63239.0,28597.020825756255,60.92,1,0.33899545632891714
2503803,54.92,735.0671,75.86,66.0,5753.0,16014.079610637928,63.11,1,0.33899545632891714
2503902,36.34,730.7509,93.33,84.0,6085.0,14414.626129827444,49.89,1,0.33899545632891714
2504009,42.4,730.5838,85.81,2861.0,419379.0,30780.613716948155,54.42,1,0.33899545632891714
2504033,56.03,743.4594,97.26,71.0,6970.0,14575.609756097561,63.86,0,0.33899545632891714
2504074,48.41,737.1034,81.13,43.0,3944.0,13962.474645030426,58.68,1,0.33899545632891714
2504108,68.95,774.412,96.3,26.0,2312.0,17215.397923875433,72.43,0,0.33899545632891714
2504157,47.97,736.4099,89.41,76.0,6889.0,12180.868050515317,58.37,1,0.33899545632891714
2504207,32.79,713.7641,89.47,51.0,4491.0,14143.620574482298,47.09,1,0.33899545632891714
2504306,55.21,742.5161,83.14,217.0,30661.0,20309.644173379864,63.31,1,0.33899545632891714
2504355,53.0,742.2911,85.0,68.0,5254.0,16600.11419870575,61.82,1,0.33899545632891714
